,id_projeto,data_inicio,data_fim,descricao,descricao.1,ch_dedicada,sexo,ativo,id_pessoa,id_discente,curso,id_servidor,denominacao,unidade_lotacao
94,999,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,F,False,13991,,,13994.0,Docente                       ,CCS
95,999,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,F,False,176416,,,20181.0,Docente                       ,CCS
96,956,2017,31/12/2017,DOCENTE,COLABORADOR(A),20,M,True,167645,,,18596.0,Docente                       ,CEAR
101,956,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,False,167645,,,18596.0,Docente                       ,CEAR
104,956,2017,31/12/2017,DOCENTE,COORDENADOR(A),20,M,True,168561,,,18621.0,Docente                       ,CEAR
107,1021,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,11610,,,14916.0,Docente                       ,CCM
110,1021,2017,31/12/2017,DOCENTE,COLABORADOR(A),640,M,True,10536,,,15394.0,Docente                       ,CCM
116,1021,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,M,False,10536,,,15394.0,Docente                       ,CCM
117,731,2017,31/12/2017,DOCENTE,COORDENADOR(A),0,F,True,8450,,,8450.0,Docente                       ,CCA
123,6142,2019,31/12/2019,DOCENTE,COORDENADOR(A) ADJUNTO(A),28,F,True,174156,,,19468.0,Docente                       ,CCA
124,6142,2019,31/12/2019,DOCENTE,COORDENADOR(A),800,F,True,13517,,,15224.0,Docente                       ,CCA
125,666,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,9215,,,15922.0,Docente                       ,CCS
133,666,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),320,M,True,8286,,,8286.0,Docente                       ,CCS
134,2301,2018,31/12/2018,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,F,False,176416,,,20181.0,Docente                       ,CCS
135,2301,2018,31/12/2018,DOCENTE,COORDENADOR(A),0,F,True,5540,,,5540.0,Docente                       ,CCS
153,1000,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,13040,,,15380.0,Docente                       ,CCM
158,1157,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),48,M,True,12793,,,15378.0,Docente                       ,CCA
159,1157,2017,31/12/2017,DOCENTE,COORDENADOR(A),48,M,True,269958,,,20634.0,Docente                       ,CCA
161,5642,2019,31/12/2019,DOCENTE,COLABORADOR(A),80,F,True,399029,,,20931.0,Docente                       ,CCTA
162,5642,2019,31/12/2019,DOCENTE,COLABORADOR(A),80,M,True,8101,,,8101.0,Docente                       ,CCTA
166,5642,2019,31/12/2019,DOCENTE,COLABORADOR(A),80,F,True,213384,,,19471.0,Docente                       ,CCTA
167,5642,2019,31/12/2019,DOCENTE,COLABORADOR(A),80,M,True,350520,,,20226.0,Docente                       ,CCTA
168,5642,2019,31/12/2019,DOCENTE,COLABORADOR(A),80,F,True,200039,,,19368.0,Docente                       ,CCTA
169,5642,2019,31/12/2019,DOCENTE,COORDENADOR(A),800,F,True,255043,,,19650.0,Docente                       ,CCTA
170,2827,2018,28/02/2019,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,F,True,11511,,,11514.0,Docente                       ,CCS
171,2827,2018,28/02/2019,DOCENTE,COORDENADOR(A),0,F,True,9416,,,9417.0,Docente                       ,CCHLA
181,1365,2017,31/12/2017,DOCENTE,COLABORADOR(A),140,F,True,12438,,,12441.0,Docente                       ,CCA
182,1365,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),290,M,True,13470,,,13473.0,Docente                       ,CCA
183,1365,2017,31/12/2017,DOCENTE,COORDENADOR(A),500,M,True,13966,,,13969.0,Docente                       ,CCA
184,791,2017,31/12/2017,DOCENTE,COORDENADOR(A),320,F,True,11461,,,15339.0,Docente                       ,CCS
191,791,2017,31/12/2017,DOCENTE,COLABORADOR(A),160,F,True,9940,,,9942.0,Docente                       ,CCS
192,921,nan,,DOCENTE,COLABORADOR(A),400,F,True,196467,,,19066.0,Docente                       ,CTDR
195,921,nan,,DOCENTE,COLABORADOR(A),410,F,True,19125,,,20322.0,Docente                       ,CTDR
197,921,2017,31/01/2018,DOCENTE,COLABORADOR(A),1,F,False,19125,,,20322.0,Docente                       ,CTDR
199,921,2017,31/01/2018,DOCENTE,COLABORADOR(A),1,F,False,167619,,,18589.0,Docente                       ,CTDR
200,921,nan,,DOCENTE,COORDENADOR(A),520,F,True,19221,,,18338.0,Docente                       ,CTDR
213,5689,2019,31/12/2019,DOCENTE,COORDENADOR(A) ADJUNTO(A),140,M,True,113422,,,20041.0,Docente                       ,CCEN
214,5689,2019,31/12/2019,DOCENTE,COORDENADOR(A),616,F,True,14528,,,14531.0,Docente                       ,CCEN
219,2326,2018,26/12/2018,DOCENTE,COORDENADOR(A),800,F,True,408881,,,21316.0,Docente                       ,CCHLA
222,1058,2017,28/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),320,F,True,12103,,,12106.0,Docente                       ,CCS
224,1058,2017,28/12/2017,DOCENTE,COORDENADOR(A),320,F,True,112137,,,21573.0,Docente                       ,CCS
225,1058,2017,28/12/2017,DOCENTE,COLABORADOR(A),320,F,True,12051,,,15013.0,Docente                       ,CCS
226,1058,2017,28/12/2017,DOCENTE,COLABORADOR(A),320,F,True,8282,,,8282.0,Docente                       ,CCS
227,1058,2017,28/12/2017,DOCENTE,COLABORADOR(A),320,F,True,13127,,,15171.0,Docente                       ,CCS
228,1058,2017,28/12/2017,DOCENTE,COLABORADOR(A),320,F,True,8463,,,8463.0,Docente                       ,CCS
229,1058,2017,28/12/2017,DOCENTE,COLABORADOR(A),320,F,True,11586,,,15389.0,Docente                       ,CCS
230,1058,2017,28/12/2017,DOCENTE,COLABORADOR(A),320,F,True,13045,,,13048.0,Docente                       ,CCS
232,1058,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),126,F,False,12103,,,12106.0,Docente                       ,CCS
235,1058,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,False,176984,,,21439.0,Docente                       ,CCS
236,2828,nan,,DOCENTE,COLABORADOR(A),120,F,True,328994,,,19951.0,Docente                       ,CTDR
237,2828,nan,,DOCENTE,COLABORADOR(A),120,F,True,213396,,,19484.0,Docente                       ,CTDR
238,2828,nan,,DOCENTE,COORDENADOR(A),400,F,True,145106,,,22005.0,Docente                       ,CTDR
239,2828,nan,,DOCENTE,COLABORADOR(A),160,F,True,183180,,,21229.0,Docente                       ,CTDR
240,828,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),240,F,True,9349,,,16040.0,Docente                       ,CCS
251,828,2017,31/12/2017,DOCENTE,COORDENADOR(A),400,F,True,12788,,,15125.0,Docente                       ,CCS
255,828,2017,31/12/2017,DOCENTE,COLABORADOR(A),0,F,False,9349,,,16040.0,Docente                       ,CCS
258,1088,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,True,167645,,,18596.0,Docente                       ,CEAR
259,1088,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,True,168561,,,18621.0,Docente                       ,CEAR
260,1088,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,True,173633,,,19461.0,Docente                       ,CEAR
261,1088,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,True,212579,,,20529.0,Docente                       ,CEAR
262,1088,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,True,196803,,,19117.0,Docente                       ,CEAR
263,1088,2017,31/12/2017,DOCENTE,COORDENADOR(A),0,M,True,196496,,,19091.0,Docente                       ,CEAR
267,872,2017,31/12/2017,DOCENTE,COLABORADOR(A),320,M,True,12752,,,12755.0,Docente                       ,CE
268,872,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,M,True,13145,,,15177.0,Docente                       ,CE
270,773,2017,31/12/2017,DOCENTE,COLABORADOR(A),139,M,True,11371,,,14862.0,Docente                       ,CCM
279,773,2017,31/12/2017,DOCENTE,COLABORADOR(A),80,M,True,13665,,,13668.0,Docente                       ,CCHLA
280,773,2017,31/12/2017,DOCENTE,COORDENADOR(A),695,F,True,11567,,,14909.0,Docente                       ,CE
299,1330,2017,23/02/2018,DOCENTE,COORDENADOR(A),136,M,True,198275,,,19177.0,Docente                       ,CCTA
303,2295,2018,26/12/2018,DOCENTE,COORDENADOR(A),480,F,True,19229,,,18346.0,Docente                       ,CCHLA
304,2295,2018,26/12/2018,DOCENTE,COORDENADOR(A) ADJUNTO(A),320,F,True,213353,,,19444.0,Docente                       ,CCHLA
313,2295,2018,31/12/2018,DOCENTE,COLABORADOR(A),120,M,False,11092,,,11094.0,Docente                       ,CCHLA
316,2295,2018,26/12/2018,DOCENTE,COLABORADOR(A),200,M,True,14312,,,14315.0,Docente                       ,CCHLA
318,2295,2018,26/12/2018,DOCENTE,COLABORADOR(A),200,F,True,465686,,,22261.0,Docente                       ,CCHLA
325,2295,2018,26/12/2018,DOCENTE,COLABORADOR(A),200,F,True,165959,,,19619.0,Docente                       ,CCHLA
326,730,2017,31/12/2017,DOCENTE,COLABORADOR(A),0,F,True,11307,,,14849.0,Docente                       ,CCHLA
327,730,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),400,F,True,13039,,,20288.0,Docente                       ,CCHLA
333,730,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),336,F,True,13640,,,20476.0,Docente                       ,CCHLA
359,730,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,F,False,13039,,,20288.0,Docente                       ,CCHLA
360,730,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,F,False,13640,,,20476.0,Docente                       ,CCHLA
361,730,2017,31/12/2017,DOCENTE,COLABORADOR(A),3,M,True,167605,,,21028.0,Docente                       ,CCHLA
370,730,2017,31/12/2017,DOCENTE,COORDENADOR(A),432,F,True,12316,,,15370.0,Docente                       ,CCHLA
380,6173,2019,31/12/2019,DOCENTE,COLABORADOR(A),60,M,True,350520,,,20226.0,Docente                       ,CCTA
387,6173,2019,31/12/2019,DOCENTE,COORDENADOR(A),120,F,True,10613,,,10615.0,Docente                       ,CCTA
391,655,2017,31/12/2017,DOCENTE,COLABORADOR(A),120,F,True,13437,,,19822.0,Docente                       ,CTDR
392,655,2017,31/12/2017,DOCENTE,COORDENADOR(A),580,F,True,12821,,,20754.0,Docente                       ,CCS
393,655,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),580,F,True,13248,,,13251.0,Docente                       ,CCS
402,655,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,F,False,13248,,,13251.0,Docente                       ,CCS
403,655,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,F,False,13437,,,19822.0,Docente                       ,CTDR
406,605,2017,31/12/2017,DOCENTE,COLABORADOR(A),320,M,True,213400,,,19488.0,Docente                       ,CBIOTEC
411,605,2017,15/09/2017,DOCENTE,COLABORADOR(A),320,M,True,336996,,,21786.0,Docente                       ,CBIOTEC
414,605,2017,31/12/2017,DOCENTE,COLABORADOR(A),160,F,True,110003,,,20246.0,Docente                       ,CBIOTEC
417,605,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),320,M,True,126991,,,19015.0,Docente                       ,CBIOTEC
418,605,2017,31/12/2017,DOCENTE,COLABORADOR(A),160,M,True,19316,,,18410.0,Docente                       ,CCS
425,605,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,M,True,200042,,,19370.0,Docente                       ,CBIOTEC
435,1295,2017,31/12/2017,DOCENTE,COORDENADOR(A),0,M,True,14441,,,14444.0,Docente                       ,CCEN
439,974,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,19505,,,18551.0,Docente                       ,CCS
461,1255,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,6474,,,6474.0,Docente                       ,CCA
462,749,2017,31/12/2017,DOCENTE,COORDENADOR(A),0,F,True,9851,,,9853.0,Docente                       ,CCHSA
470,809,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,M,True,11294,,,14847.0,Docente                       ,CCS
471,809,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),640,F,True,8449,,,8449.0,Docente                       ,CCS
472,809,2017,31/12/2017,DOCENTE,COLABORADOR(A),640,M,True,8286,,,8286.0,Docente                       ,CCS
473,809,2017,31/12/2017,DOCENTE,COLABORADOR(A),640,F,True,5114,,,5114.0,Docente                       ,CCS
474,809,2017,31/12/2017,DOCENTE,COLABORADOR(A),640,F,True,22673,,,20635.0,Docente                       ,CCS
475,809,2017,31/12/2017,DOCENTE,COLABORADOR(A),640,M,True,9292,,,9293.0,Docente                       ,CCS
476,809,2017,31/12/2017,DOCENTE,COLABORADOR(A),128,F,True,5540,,,5540.0,Docente                       ,CCS
480,6159,2019,31/12/2019,DOCENTE,COORDENADOR(A) ADJUNTO(A),52,F,True,13095,,,13098.0,Docente                       ,CCAE
481,6159,2019,31/12/2019,DOCENTE,ORIENTADOR,56,F,True,405239,,,21089.0,Docente                       ,CTDR
482,6159,2019,31/12/2019,DOCENTE,ORIENTADOR,1,F,False,393805,,,20720.0,Docente                       ,CTDR
489,6159,2019,31/12/2019,DOCENTE,ORIENTADOR,20,F,True,405236,,,21078.0,Docente                       ,CTDR
490,6159,2019,31/12/2019,DOCENTE,COORDENADOR(A),112,F,True,170681,,,20513.0,Docente                       ,CTDR
491,1390,2017,31/12/2017,DOCENTE,COLABORADOR(A),128,M,True,10634,,,14736.0,Docente                       ,CCS
495,1390,2017,31/12/2017,DOCENTE,COLABORADOR(A),91,M,True,196798,,,19112.0,Docente                       ,CCS
496,1390,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),40,M,False,196798,,,19112.0,Docente                       ,CCS
506,1390,2017,31/12/2017,DOCENTE,COLABORADOR(A),128,F,True,30173,,,21320.0,Docente                       ,CCS
507,1390,2017,31/12/2017,DOCENTE,COLABORADOR(A),160,M,True,13692,,,15237.0,Docente                       ,CCS
511,988,2017,10/01/2018,DOCENTE,COLABORADOR(A),1,M,True,13409,,,13412.0,Docente                       ,CCHSA
514,988,2017,10/01/2018,DOCENTE,COORDENADOR(A),0,F,True,10201,,,19653.0,Docente                       ,CCHSA
515,766,2017,31/12/2017,DOCENTE,COORDENADOR(A),0,F,True,8450,,,8450.0,Docente                       ,CCA
516,832,2017,31/12/2017,DOCENTE,COORDENADOR(A),0,M,True,14524,,,14527.0,Docente                       ,CCAE
517,1238,nan,,DOCENTE,COORDENADOR(A),640,M,True,12276,,,12279.0,Docente                       ,CE
524,1082,2017,31/12/2017,DOCENTE,COLABORADOR(A),19,F,True,11901,,,11904.0,Docente                       ,CCEN
525,1082,2017,31/12/2017,DOCENTE,COORDENADOR(A),0,F,True,13705,,,13708.0,Docente                       ,CCEN
532,1358,nan,,DOCENTE,CONSULTOR / TUTOR,60,F,True,12917,,,15148.0,Docente                       ,CT
533,1358,nan,,DOCENTE,COORDENADOR(A) ADJUNTO(A),20,M,True,196799,,,19113.0,Docente                       ,CT
534,1358,nan,,DOCENTE,CONSULTOR / TUTOR,60,F,True,393817,,,20748.0,Docente                       ,CT
537,1358,nan,,DOCENTE,COORDENADOR(A),70,M,True,197734,,,19151.0,Docente                       ,CT
538,2293,nan,,DOCENTE,COORDENADOR(A) ADJUNTO(A),320,M,True,197756,,,19166.0,Docente                       ,CEAR
539,2293,nan,,DOCENTE,COORDENADOR(A),480,M,True,428302,,,21785.0,Docente                       ,
553,1890,2018,31/12/2018,DOCENTE,COORDENADOR(A),600,F,True,24913,,,22001.0,Docente                       ,CCS
554,1890,2018,31/12/2018,DOCENTE,COORDENADOR(A) ADJUNTO(A),480,M,True,445509,,,22000.0,Docente                       ,CCS
555,1890,2018,31/03/2021,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,M,False,445509,,,22000.0,Docente                       ,CCS
556,769,nan,,DOCENTE,COLABORADOR(A),40,M,True,13731,,,13734.0,Docente                       ,CCSA
557,769,nan,,DOCENTE,COORDENADOR(A) ADJUNTO(A),40,F,True,8361,,,8361.0,Docente                       ,CCSA
558,769,nan,,DOCENTE,COORDENADOR(A),0,F,True,19199,,,18316.0,Docente                       ,CCSA
566,1103,2017,31/12/2017,DOCENTE,COORDENADOR(A),8,M,True,13123,,,19496.0,Docente                       ,CCTA
574,1237,nan,,DOCENTE,COLABORADOR(A),220,F,True,12053,,,15014.0,Docente                       ,CCTA
580,1237,nan,,DOCENTE,COORDENADOR(A),640,F,True,12441,,,12444.0,Docente                       ,CCTA
581,2553,2018,31/12/2018,DOCENTE,COORDENADOR(A) ADJUNTO(A),400,M,True,13424,,,13427.0,Docente                       ,CCAE
582,2553,2018,31/12/2018,DOCENTE,COORDENADOR(A),400,M,True,112669,,,19152.0,Docente                       ,CEAR
583,1124,nan,,DOCENTE,COORDENADOR(A),400,F,True,182790,,,18755.0,Docente                       ,CT
584,1124,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,M,False,13837,,,13840.0,Docente                       ,CT
589,5872,nan,,DOCENTE,COLABORADOR(A),250,F,True,30173,,,22131.0,Docente                       ,CCS
590,5872,nan,,DOCENTE,COORDENADOR(A) ADJUNTO(A),200,F,True,12719,,,15113.0,Docente                       ,CCS
593,1080,2017,31/12/2017,DOCENTE,COORDENADOR(A),460,F,True,9081,,,9082.0,Docente                       ,CCS
594,1317,nan,,DOCENTE,COLABORADOR(A),160,F,True,172,,,172.0,Docente                       ,CCSA
595,1317,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,F,False,172,,,172.0,Docente                       ,CCSA
599,1317,nan,,DOCENTE,COLABORADOR(A),200,F,True,12663,,,15375.0,Docente                       ,CCSA
603,1317,nan,,DOCENTE,COORDENADOR(A) ADJUNTO(A),240,F,True,10270,,,15266.0,Docente                       ,CCSA
604,1317,nan,,DOCENTE,COORDENADOR(A),640,F,True,139520,,,21428.0,Docente                       ,CCSA
608,2808,2018,31/12/2018,DOCENTE,COLABORADOR(A),80,F,True,13079,,,19104.0,Docente                       ,CCS
610,2808,2018,31/12/2018,DOCENTE,COORDENADOR(A) ADJUNTO(A),80,F,True,183161,,,18818.0,Docente                       ,CCS
612,2808,2018,31/12/2018,DOCENTE,COORDENADOR(A),800,F,True,219304,,,19528.0,Docente                       ,CCS
616,2808,2018,31/12/2018,DOCENTE,COLABORADOR(A),80,F,True,10178,,,14638.0,Docente                       ,CCS
625,948,nan,,DOCENTE,COORDENADOR(A),20,F,True,25353,,,21255.0,Docente                       ,CCHLA
628,687,2017,31/12/2017,DOCENTE,COLABORADOR(A),580,F,True,13433,,,15215.0,Docente                       ,CCSA
639,687,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),640,F,True,11554,,,11557.0,Docente                       ,CCSA
646,687,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,11060,,,14790.0,Docente                       ,CCSA
647,2903,2018,26/12/2018,DOCENTE,COORDENADOR(A) ADJUNTO(A),570,F,True,12663,,,15375.0,Docente                       ,CCSA
650,2903,2018,06/05/2018,DOCENTE,COORDENADOR(A),10,F,True,12663,,,15375.0,Docente                       ,CCSA
660,401,2017,31/12/2017,DOCENTE,ASSESSOR,300,M,True,13801,,,13804.0,Docente                       ,CCTA
661,600,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,False,253684,,,19618.0,Docente                       ,CI
662,600,nan,,DOCENTE,COLABORADOR(A),110,M,True,13249,,,18769.0,Docente                       ,CI
664,600,nan,,DOCENTE,COORDENADOR(A) ADJUNTO(A),120,M,True,11937,,,11940.0,Docente                       ,CCA
665,600,nan,,DOCENTE,COORDENADOR(A),270,M,True,13450,,,13453.0,Docente                       ,CCA
667,500,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),4,M,True,14076,,,14079.0,Docente                       ,CCAE
669,500,2017,31/12/2017,DOCENTE,COORDENADOR(A),1,M,True,14524,,,14527.0,Docente                       ,CCAE
670,1394,2017,31/12/2017,DOCENTE,MINISTRANTE,1,M,False,12969,,,12972.0,Docente                       ,CCAE
671,1394,nan,,DOCENTE,MINISTRANTE,60,F,True,378007,,,21384.0,Docente                       ,CCAE
672,1394,nan,,DOCENTE,COORDENADOR(A),60,F,True,13287,,,13290.0,Docente                       ,CCAE
673,770,2017,31/12/2017,DOCENTE,COORDENADOR(A),370,F,True,412050,,,21389.0,Docente                       ,CT
679,770,2017,31/12/2017,DOCENTE,COLABORADOR(A),10,F,True,10438,,,10440.0,Docente                       ,CT
680,770,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),192,F,True,8426,,,8426.0,Docente                       ,CT
681,770,2017,01/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),232,F,False,412050,,,21389.0,Docente                       ,CT
682,1420,2017,11/01/2018,DOCENTE,COORDENADOR(A),0,M,True,14489,,,14492.0,Docente                       ,CCSA
691,1272,nan,,DOCENTE,COORDENADOR(A),0,M,True,14057,,,14060.0,Docente                       ,CCSA
695,1186,nan,,DOCENTE,COLABORADOR(A),384,M,True,13185,,,13188.0,Docente                       ,CCAE
696,1186,nan,,DOCENTE,COLABORADOR(A),384,M,True,14459,,,14462.0,Docente                       ,CCAE
697,1186,nan,,DOCENTE,COLABORADOR(A),384,F,True,13106,,,13109.0,Docente                       ,CCAE
698,1186,nan,,DOCENTE,COORDENADOR(A),640,M,True,399816,,,21008.0,Docente                       ,CCAE
699,2831,2018,26/12/2018,DOCENTE,COORDENADOR(A),800,F,True,135373,,,20295.0,Docente                       ,CE
703,2831,2018,26/12/2018,DOCENTE,COLABORADOR(A),70,F,True,9347,,,9348.0,Docente                       ,CE
707,1064,2017,31/12/2017,DOCENTE,MINISTRANTE,1,M,False,13447,,,13450.0,Docente                       ,CCAE
708,1064,2017,31/12/2017,DOCENTE,MINISTRANTE,1,M,False,13667,,,18365.0,Docente                       ,CCAE
709,1064,2017,31/12/2017,DOCENTE,MINISTRANTE,1,F,False,13363,,,13366.0,Docente                       ,CCAE
710,1064,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,F,False,13836,,,18559.0,Docente                       ,CCAE
711,1064,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,F,False,19158,,,18270.0,Docente                       ,CCAE
712,1064,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,M,False,11965,,,15003.0,Docente                       ,CCAE
713,1064,2017,31/12/2017,DOCENTE,MINISTRANTE,1,M,False,11965,,,15003.0,Docente                       ,CCAE
714,1064,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,False,13447,,,13450.0,Docente                       ,CCAE
715,1064,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,False,11965,,,15003.0,Docente                       ,CCAE
716,1064,2017,31/12/2017,DOCENTE,MINISTRANTE,1,F,False,13836,,,18559.0,Docente                       ,CCAE
717,1064,nan,,DOCENTE,COORDENADOR(A),60,M,True,12928,,,21081.0,Docente                       ,CCAE
718,5864,nan,,DOCENTE,COLABORADOR(A),90,F,True,12719,,,15113.0,Docente                       ,CCS
719,5864,nan,,DOCENTE,COORDENADOR(A) ADJUNTO(A),90,F,True,450209,,,22144.0,Docente                       ,CCS
721,508,2017,02/04/2018,DOCENTE,COORDENADOR(A),0,M,True,112669,,,19152.0,Docente                       ,CEAR
732,671,2017,31/12/2017,DOCENTE,ORIENTADOR,64,F,True,11384,,,11387.0,Docente                       ,CCS
740,671,2017,31/12/2017,DOCENTE,COORDENADOR(A),320,F,True,181940,,,20141.0,Docente                       ,CCS
741,671,2017,31/12/2017,DOCENTE,ORIENTADOR,64,F,True,11410,,,15334.0,Docente                       ,CCS
754,671,2017,31/12/2017,DOCENTE,COLABORADOR(A),128,F,False,13055,,,15161.0,Docente                       ,CCS
760,671,2017,31/12/2017,DOCENTE,ORIENTADOR,0,F,False,11410,,,15334.0,Docente                       ,CCS
769,671,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,F,False,11384,,,11387.0,Docente                       ,CCS
