id_projeto,id_pessoa,categoria_membro,funcao_membro,data_inicio,data_fim,ch_dedicada,ch_execucao,ch_preparacao,ch_semanal,ano,a
730.0,13039.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,1.0,,,,2017.0,CCHLA
702.0,24229.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,440.0,,,,2017.0,CE
634.0,112913.0,DOCENTE,ORIENTADOR,2017-05-11,2017-12-31,40.0,,,,2017.0,CCSA
643.0,9813.0,DOCENTE,COLABORADOR(A),2017-05-01,2017-12-31,1.0,,,,2017.0,CCEN
634.0,13881.0,DOCENTE,INSTRUTOR / SUPERVISOR,2017-05-11,2017-12-31,22.0,,,,2017.0,CCSA
1219.0,13249.0,DOCENTE,CONSULTOR / TUTOR,2017-05-02,2018-01-31,35.0,,,,2017.0,CCSA
551.0,11840.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,20.0,,,,2017.0,CCM
1042.0,195760.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,0.0,0.0,0.0,,2017.0,CCM
377.0,19035.0,DOCENTE,COLABORADOR(A),2017-04-20,2017-12-20,60.0,,,,2017.0,CE
883.0,10413.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,320.0,0.0,0.0,,2017.0,CCS
645.0,12073.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,40.0,,,,2017.0,CCHSA
814.0,199065.0,DOCENTE,COORDENADOR(A),2017-05-01,2017-12-31,640.0,0.0,0.0,,2017.0,CCA
535.0,164615.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-07-03,2017-12-31,560.0,,,,2017.0,CCTA
1318.0,195725.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,120.0,,,,2017.0,CCAE
945.0,14051.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCTA
377.0,11154.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,200.0,,,,2017.0,CE
1061.0,118919.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,28.0,0.0,0.0,,2017.0,CCA
782.0,178023.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-15,2017-12-31,320.0,,,,2017.0,CCS
1059.0,9175.0,DOCENTE,COLABORADOR(A),2017-05-01,2017-12-31,108.0,,,,2017.0,CCEN
981.0,11439.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,210.0,0.0,0.0,,2017.0,CT
1227.0,10572.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,0.0,0.0,0.0,,2017.0,CCM
967.0,213363.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,640.0,,,,2017.0,CCTA
924.0,125005.0,DOCENTE,COLABORADOR(A),2017-04-24,2018-01-01,50.0,,,,2017.0,CCHSA
1250.0,12714.0,DOCENTE,COORDENADOR(A),2017-05-02,2017-12-31,640.0,,,,2017.0,CCS
1085.0,12718.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,60.0,,,,2017.0,CCHSA
1085.0,11431.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,68.0,,,,2017.0,CCHSA
991.0,269958.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-01,2017-12-31,1.0,,,,2017.0,CCA
1117.0,12141.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCSA
1068.0,9447.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,160.0,,,,2017.0,CCHLA
605.0,200042.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CBIOTEC
1003.0,12371.0,DOCENTE,COLABORADOR(A),2017-05-02,2017-12-31,103.0,,,,2017.0,CCHLA
959.0,12778.0,DOCENTE,COLABORADOR(A),2017-05-15,2017-12-31,64.0,,,,2017.0,CT
1063.0,11916.0,DOCENTE,COLABORADOR(A),2017-05-15,2017-12-31,160.0,,,,2017.0,CCHLA
1176.0,14086.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCSA
1012.0,13079.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,272.0,,,,2017.0,CCS
1038.0,11346.0,DOCENTE,COORDENADOR(A),2017-05-01,2017-12-31,640.0,0.0,0.0,,2017.0,CCS
1126.0,23834.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CI
1131.0,9499.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,720.0,0.0,0.0,,2017.0,CCA
803.0,220812.0,DOCENTE,COLABORADOR(A),2017-05-01,2017-12-31,320.0,,,,2017.0,CT
1262.0,39688.0,DOCENTE,COORDENADOR(A),2017-05-15,2017-12-31,640.0,0.0,0.0,,2017.0,CCSA
1019.0,14002.0,DOCENTE,COLABORADOR(A),2017-05-05,2017-12-31,45.0,,,,2017.0,CCAE
1232.0,14459.0,DOCENTE,COORDENADOR(A),2017-05-01,2017-12-31,78.0,0.0,0.0,,2017.0,CCAE
1338.0,13448.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-15,2017-12-31,60.0,,,,2017.0,CCAE
1265.0,12082.0,DOCENTE,COLABORADOR(A),2017-05-02,2017-12-31,1.0,,,,2017.0,CCHLA
1139.0,12844.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,60.0,,,,2017.0,CCAE
1244.0,14015.0,DOCENTE,COLABORADOR(A),2017-05-15,2017-12-31,640.0,,,,2017.0,CCHSA
1200.0,11478.0,DOCENTE,ORIENTADOR,2017-05-15,2017-12-31,300.0,,,,2017.0,CCSA
710.0,11204.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,3.0,,,,2017.0,CCHLA
1247.0,12789.0,DOCENTE,COLABORADOR(A),2017-05-15,2017-12-31,8.0,,,,2017.0,CE
1286.0,19319.0,DOCENTE,COORDENADOR(A),2017-05-01,2017-12-31,640.0,0.0,0.0,,2017.0,CI
1318.0,405082.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,120.0,,,,2017.0,CCAE
1226.0,13949.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,46.0,,,,2017.0,CCAE
1146.0,139029.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,200.0,,,,2017.0,CE
1318.0,349006.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,120.0,,,,2017.0,CCAE
1047.0,174156.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,1.0,,,,2017.0,CCA
1102.0,11631.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,1.0,,,,2017.0,CCHSA
758.0,405230.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,320.0,,,,2017.0,CCS
1173.0,13305.0,DOCENTE,COLABORADOR(A),2017-05-02,2017-12-31,320.0,,,,2017.0,CCHSA
910.0,13049.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,192.0,,,,2017.0,CT
1193.0,10201.0,DOCENTE,COORDENADOR(A),2017-05-10,2018-01-10,282.0,0.0,0.0,,2017.0,CCHSA
952.0,13066.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,600.0,,,,2017.0,CCSA
535.0,13087.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCTA
952.0,10722.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,640.0,,,,2017.0,CCSA
1197.0,9846.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,140.0,,,,2017.0,CT
1195.0,38609.0,DOCENTE,COLABORADOR(A),2017-05-12,2017-12-31,16.0,,,,2017.0,CCSA
984.0,11231.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,1.0,,,,2017.0,CE
645.0,11370.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,100.0,,,,2017.0,CCHSA
1215.0,12253.0,DOCENTE,COLABORADOR(A),2017-05-01,2017-12-31,64.0,,,,2017.0,CCS
1215.0,7008.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-01,2017-12-31,64.0,,,,2017.0,CCS
1271.0,14482.0,DOCENTE,COORDENADOR(A),2017-04-26,2018-01-26,240.0,0.0,0.0,,2017.0,CCA
1266.0,13778.0,DOCENTE,COORDENADOR(A),2017-05-15,2017-12-31,640.0,0.0,0.0,,2017.0,CCA
526.0,11266.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCS
1029.0,213357.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCAE
551.0,14622.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCM
1076.0,10627.0,DOCENTE,COORDENADOR(A),2017-05-15,2017-12-31,250.0,0.0,0.0,,2017.0,CCEN
1154.0,4761.0,DOCENTE,ORIENTADOR,2017-05-11,2017-12-31,50.0,,,,2017.0,CI
1373.0,12999.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,170.0,,,,2017.0,CT
1337.0,197725.0,DOCENTE,COLABORADOR(A),2017-05-15,2017-12-31,92.0,,,,2017.0,CEAR
1253.0,13470.0,DOCENTE,COORDENADOR(A),2017-05-15,2017-12-31,410.0,0.0,0.0,,2017.0,CCA
1329.0,9787.0,DOCENTE,COLABORADOR(A),2017-04-26,2017-12-31,384.0,,,,2017.0,CCHSA
986.0,8402.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,1.0,,,,2017.0,CCEN
1232.0,219313.0,DOCENTE,COLABORADOR(A),2017-05-01,2017-12-31,40.0,,,,2017.0,CCAE
1346.0,11850.0,DOCENTE,COLABORADOR(A),2017-05-15,2017-12-31,1.0,,,,2017.0,CE
1053.0,8172.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-15,2017-12-31,1.0,,,,2017.0,CCTA
1370.0,12096.0,DOCENTE,COLABORADOR(A),2017-05-01,2017-12-31,96.0,,,,2017.0,CCTA
1079.0,149312.0,DOCENTE,COLABORADOR(A),2017-04-25,2017-12-29,128.0,,,,2017.0,CCS
1348.0,9764.0,DOCENTE,COORDENADOR(A),2017-05-15,2017-12-31,66.0,0.0,0.0,,2017.0,CCA
1053.0,198275.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-15,2017-12-31,1.0,,,,2017.0,CCTA
1345.0,13193.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,92.0,,,,2017.0,CCHLA
682.0,21981.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCHSA
1039.0,13876.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,44.0,,,,2017.0,CCJ
1359.0,407393.0,DOCENTE,COORDENADOR(A),2017-05-15,2017-12-31,640.0,0.0,0.0,,2017.0,CCTA
1352.0,9441.0,DOCENTE,COLABORADOR(A),2017-05-01,2017-12-31,248.0,,,,2017.0,CCTA
1318.0,12742.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,360.0,0.0,0.0,,2017.0,CCAE
1352.0,10655.0,DOCENTE,COLABORADOR(A),2017-05-01,2017-12-31,128.0,,,,2017.0,CCTA
1407.0,13409.0,DOCENTE,COORDENADOR(A),2017-05-01,2018-02-19,256.0,0.0,0.0,,2017.0,CCHSA
1105.0,19125.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-04-26,2017-12-30,540.0,,,,2017.0,CTDR
1370.0,5836.0,DOCENTE,COLABORADOR(A),2017-05-01,2017-12-31,128.0,,,,2017.0,CCTA
1039.0,19208.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCJ
1039.0,12829.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,44.0,,,,2017.0,CCJ
1326.0,110019.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-15,2017-12-31,58.0,,,,2017.0,CCSA
1348.0,260339.0,DOCENTE,COLABORADOR(A),2017-05-15,2017-12-31,30.0,,,,2017.0,CCA
501.0,12391.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,200.0,,,,2017.0,CCA
946.0,10422.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,376.0,0.0,0.0,,2017.0,CCHSA
583.0,219297.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CTDR
1318.0,128927.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,120.0,,,,2017.0,CCAE
1119.0,9886.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,320.0,,,,2017.0,CCTA
1418.0,13102.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,20.0,,,,2017.0,CCHLA
1388.0,268227.0,DOCENTE,COLABORADOR(A),2017-05-15,2017-12-31,320.0,,,,2017.0,CTDR
976.0,405227.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,430.0,0.0,0.0,,2017.0,CCA
527.0,12379.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCS
1424.0,19194.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCM
1423.0,14665.0,DOCENTE,COORDENADOR(A),2017-05-15,2017-12-31,640.0,0.0,0.0,,2017.0,CCM
935.0,13951.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,8.0,,,,2017.0,CTDR
1086.0,9166.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,660.0,0.0,0.0,,2017.0,CCS
885.0,9096.0,DOCENTE,COORDENADOR(A),2017-05-01,2017-12-31,2.0,0.0,0.0,,2017.0,CCTA
1037.0,428313.0,DOCENTE,COLABORADOR(A),2017-05-30,2017-12-31,320.0,,,,2017.0,CCSA
525.0,5109.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,640.0,,,,2017.0,CCS
1299.0,19127.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-18,130.0,,,,2017.0,CCS
1275.0,19197.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,640.0,,,,2017.0,CTDR
861.0,44770.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-01,2017-12-31,320.0,,,,2017.0,CCS
959.0,412050.0,DOCENTE,COLABORADOR(A),2017-05-15,2017-12-31,128.0,,,,2017.0,CT
1046.0,183.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,160.0,,,,2017.0,CCS
1046.0,13426.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,320.0,,,,2017.0,CCS
1211.0,13806.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-07-31,20.0,,,,2017.0,CCTA
959.0,11403.0,DOCENTE,COLABORADOR(A),2017-05-15,2017-12-31,32.0,,,,2017.0,CT
1037.0,260345.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,320.0,,,,2017.0,CCSA
1229.0,11746.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-15,2017-12-31,64.0,,,,2017.0,CEAR
1037.0,19199.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,320.0,,,,2017.0,CCSA
1221.0,11612.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,128.0,,,,2017.0,CT
1339.0,14042.0,DOCENTE,COLABORADOR(A),2017-05-15,2017-12-31,53.0,,,,2017.0,CT
780.0,12701.0,DOCENTE,COORDENADOR(A),2017-05-01,2018-01-01,640.0,0.0,0.0,,2017.0,CE
1079.0,7029.0,DOCENTE,COLABORADOR(A),2017-04-25,2017-12-29,128.0,,,,2017.0,CCS
870.0,8927.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,160.0,,,,2017.0,CCSA
1195.0,14150.0,DOCENTE,COLABORADOR(A),2017-05-12,2017-12-31,4.0,,,,2017.0,CCSA
1399.0,173645.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-15,2017-12-31,320.0,,,,2017.0,CT
1204.0,12655.0,DOCENTE,COLABORADOR(A),2017-05-15,2017-12-31,320.0,,,,2017.0,CCSA
1204.0,132453.0,DOCENTE,COLABORADOR(A),2017-08-28,2017-12-31,320.0,,,,2017.0,CCSA
813.0,2166.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,480.0,0.0,0.0,,2017.0,CT
572.0,11428.0,DOCENTE,COORDENADOR(A),2017-05-01,2017-12-31,140.0,0.0,0.0,,2017.0,CE
1215.0,5792.0,DOCENTE,COORDENADOR(A),2017-05-01,2017-12-31,128.0,0.0,0.0,,2017.0,CCS
817.0,14076.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,160.0,0.0,0.0,,2017.0,CCAE
1197.0,7518.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,420.0,0.0,0.0,,2017.0,CT
679.0,20968.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-01,2017-12-31,480.0,,,,2017.0,CCHLA
1213.0,8484.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,180.0,,,,2017.0,CCSA
817.0,424769.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,96.0,,,,2017.0,CCAE
502.0,13200.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCEN
502.0,12970.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,320.0,,,,2017.0,CCEN
809.0,11294.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCS
528.0,14528.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,410.0,0.0,0.0,,2017.0,CCEN
929.0,13798.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,320.0,,,,2017.0,CCM
1204.0,19178.0,DOCENTE,COORDENADOR(A),2017-05-15,2017-12-31,640.0,0.0,0.0,,2017.0,CCSA
526.0,10759.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,128.0,,,,2017.0,CCS
575.0,220814.0,DOCENTE,COLABORADOR(A),2017-05-02,2017-12-31,60.0,,,,2017.0,CCA
1058.0,8463.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-28,320.0,,,,2017.0,CCS
886.0,197730.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,367.0,0.0,0.0,,2017.0,CT
414.0,13038.0,DOCENTE,COORDENADOR(A),2017-05-15,2017-12-31,640.0,0.0,0.0,,2017.0,CCS
999.0,19264.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,120.0,,,,2017.0,CCS
2475.0,12103.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-28,640.0,,,,2017.0,CCS
1377.0,196826.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCA
1211.0,213382.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,40.0,,,,2017.0,CCTA
1040.0,9838.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,123.0,,,,2017.0,CCS
581.0,372245.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,93.0,,,,2017.0,CT
581.0,196802.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CT
369.0,183161.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCS
1294.0,9951.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,2.0,,,,2017.0,CT
1386.0,10432.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-15,2017-12-31,328.0,,,,2017.0,CCS
705.0,196491.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,320.0,,,,2017.0,CCS
1320.0,176416.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,96.0,,,,2017.0,CCS
1320.0,12885.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,96.0,,,,2017.0,CCS
1320.0,13991.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,448.0,0.0,0.0,,2017.0,CCS
1320.0,14055.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,96.0,,,,2017.0,CCS
779.0,35711.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,640.0,,,,2017.0,CCSA
982.0,13517.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,14.0,,,,2017.0,CCA
982.0,12793.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,16.0,,,,2017.0,CCA
1252.0,13575.0,DOCENTE,COORDENADOR(A),2017-05-15,2017-12-31,640.0,0.0,0.0,,2017.0,CCJ
978.0,180568.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CT
1209.0,12259.0,DOCENTE,COLABORADOR(A),2017-05-15,2017-12-31,160.0,,,,2017.0,CT
1034.0,21703.0,DOCENTE,COORDENADOR(A),2017-05-24,2018-03-14,640.0,0.0,0.0,,2017.0,CE
1078.0,13537.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,231.0,,,,2017.0,CTDR
1334.0,198288.0,DOCENTE,COLABORADOR(A),2017-06-12,2017-12-31,32.0,,,,2017.0,CEAR
579.0,167594.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,128.0,,,,2017.0,CCM
1351.0,399816.0,DOCENTE,COLABORADOR(A),2017-05-15,2017-12-31,32.0,,,,2017.0,CCAE
576.0,11934.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,50.0,,,,2017.0,CCEN
1078.0,13437.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CTDR
874.0,178712.0,DOCENTE,COLABORADOR(A),2017-05-11,2018-02-25,640.0,,,,2017.0,CCJ
1078.0,12821.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,140.0,,,,2017.0,CTDR
874.0,13254.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2018-02-25,640.0,,,,2017.0,CCJ
779.0,12223.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCSA
810.0,195814.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,80.0,,,,2017.0,CCHSA
1009.0,11573.0,DOCENTE,ORIENTADOR,2017-05-11,2017-12-31,120.0,,,,2017.0,CCSA
1009.0,11399.0,DOCENTE,ORIENTADOR,2017-05-11,2017-12-31,250.0,,,,2017.0,CCSA
1172.0,213386.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-11,2017-12-31,220.0,,,,2017.0,CTDR
1172.0,393805.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,72.0,,,,2017.0,CTDR
651.0,11305.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,384.0,0.0,0.0,,2017.0,CCS
810.0,12424.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,,,,2017.0,CCHSA
677.0,9110.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCJ
1293.0,30084.0,DOCENTE,COORDENADOR(A) ADJUNTO(A),2017-05-15,2017-12-31,320.0,,,,2017.0,CCS
924.0,14462.0,DOCENTE,COLABORADOR(A),2017-04-24,2018-01-01,50.0,,,,2017.0,CCHSA
1293.0,11292.0,DOCENTE,COLABORADOR(A),2017-05-15,2017-12-31,320.0,,,,2017.0,CCS
1099.0,19055.0,DOCENTE,COLABORADOR(A),2017-05-11,2017-12-31,10.0,,,,2017.0,CEAR
933.0,405233.0,DOCENTE,COORDENADOR(A),2017-05-15,2017-12-31,640.0,0.0,0.0,,2017.0,CCA
1305.0,8036.0,DOCENTE,COORDENADOR(A),2017-05-15,2017-12-31,320.0,0.0,0.0,,2017.0,CCTA
721.0,14529.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,480.0,0.0,0.0,,2017.0,CCHSA
536.0,12399.0,DOCENTE,COORDENADOR(A),2017-05-11,2017-12-31,640.0,0.0,0.0,,2017.0,CCHLA
